City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Carutapera,BR,-1.195,-46.02,77.85,82,77,6.49,broken clouds
228,Tapiramuta,BR,-11.8472,-40.7914,63.57,90,69,3.65,broken clouds
229,Kurumkan,RU,54.3,110.3,-5.22,96,97,1.97,overcast clouds
230,Oktyabrskiy,RU,54.4815,53.471,1.96,97,15,3.22,few clouds
231,Iqaluit,CA,63.7506,-68.5145,17.33,93,100,14.97,light snow
232,Puri,IN,19.8,85.85,64.92,52,58,6.73,broken clouds
233,Chowchilla,US,37.123,-120.2602,53.44,93,75,0.0,mist
234,Hasaki,JP,35.7333,140.8333,46.8,40,4,8.86,clear sky
235,Camacha,PT,33.0833,-16.3333,62.02,94,75,3.44,broken clouds
236,Tamiahua,MX,21.2667,-97.45,68.7,88,0,4.43,clear sky
237,Omsukchan,RU,62.5333,155.8,10.51,97,100,9.71,overcast clouds
238,Mandera,KE,3.9366,41.867,74.88,34,98,9.04,overcast clouds
239,Seoni Malwa,IN,22.45,77.4667,64.96,38,45,4.99,scattered clouds
240,Mar Del Plata,AR,-38.0023,-57.5575,68.95,89,0,14.0,clear sky
241,Cockburn Town,TC,21.4612,-71.1419,78.69,74,0,14.9,clear sky
242,Vestmannaeyjar,IS,63.4427,-20.2734,33.78,49,100,25.05,overcast clouds
243,Grand Gaube,MU,-20.0064,57.6608,78.39,69,63,7.0,broken clouds
244,Sakakah,SA,29.9697,40.2064,49.57,52,2,5.95,clear sky
245,Chemal,RU,51.4111,86.005,28.96,96,100,6.35,snow
246,Nome,US,64.5011,-165.4064,10.47,53,0,3.44,clear sky
247,Lebu,CL,-37.6167,-73.65,52.77,86,8,8.7,clear sky
248,Longyearbyen,SJ,78.2186,15.6401,1.92,89,72,2.48,broken clouds
249,Otradnoye,RU,59.7775,30.8181,28.45,90,100,6.53,overcast clouds
250,Cabo San Lucas,MX,22.8909,-109.9124,71.51,76,0,4.61,clear sky
251,Riedlingen,DE,48.1545,9.4756,32.88,94,100,2.44,overcast clouds
252,Dahegam,IN,23.1667,72.8167,67.77,31,33,4.88,scattered clouds
253,La Sarre,CA,48.8002,-79.1996,-0.09,100,74,3.8,broken clouds
254,Katsuura,JP,35.1333,140.3,47.7,41,3,10.65,clear sky
255,Caravelas,BR,-17.7125,-39.2481,74.41,92,84,7.2,broken clouds
256,Hobart,AU,-42.8794,147.3294,64.26,67,75,6.91,broken clouds
257,Winslow,US,35.0242,-110.6974,28.58,69,0,4.61,clear sky
